gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0024491,FBtr0347200,down - control,-0.769118845299138,0.23958969563878,268,-3.21014993256934,0.018426688122545
FBgn0015520,FBtr0333727,down - control,0.676050459086952,0.123093741729549,268,5.49215946796315,1.37146258705201e-06
FBgn0286852,FBtr0346323,down - control,0.580568370925743,0.136907893457663,268,4.2405763193287,0.000437459122225259
FBgn0038659,FBtr0083699,down - control,0.654024797171839,0.128218957061647,404,5.10084321507455,1.83469746707354e-05
FBgn0016120,FBtr0083727,down - control,0.161826322609316,0.0495435537341946,268,3.26634466872376,0.0154351963710007
FBgn0038704,FBtr0083759,down - control,-1.00585363139606,0.219235093848764,540,-4.5880137788977,0.000344956345676328
FBgn0038704,FBtr0083760,down - control,0.980256724540068,0.226173550228982,540,4.33409089412816,0.00105108292300837
FBgn0038704,FBtr0445726,down - control,-0.923095483504681,0.222640383259763,540,-4.14612780480023,0.00229810172229339
FBgn0038720,FBtr0334924,down - control,-0.61554953556617,0.124816750265512,677,-4.93162603782555,0.000103049912556719
FBgn0038829,FBtr0083993,down - control,0.25189723934944,0.0772053577253864,269,3.26269117546764,0.0156096845850674
FBgn0015790,FBtr0084010,down - control,-0.32825283058885,0.0591543690828161,269,-5.54908852344103,1.02296701864901e-06
FBgn0038878,FBtr0339195,down - control,0.569019366262393,0.0912627916249699,404,6.2349546417634,4.08543953112073e-08
FBgn0038871,FBtr0347217,down - control,0.238909095310504,0.073033592285901,269,3.27122202034454,0.0151915236351375
FBgn0038947,FBtr0084208,down - control,-0.240657574022285,0.0678762724803689,404,-3.54553314771208,0.0128895818204581
FBgn0038947,FBtr0084210,down - control,0.346290155390504,0.0671603165573143,404,5.15617217341406,1.39500229532352e-05
FBgn0267385,FBtr0084214,down - control,-0.163876715533901,0.0423587822824753,268,-3.86877777649667,0.00189293826486259
FBgn0039031,FBtr0084340,down - control,0.862066651896193,0.273468613348741,268,3.15234220607555,0.022033188561757
FBgn0039065,FBtr0334499,down - control,1.65199746681779,0.178747377849484,540,9.24207944582475,3.60522722786527e-10
FBgn0039111,FBtr0084454,down - control,0.435997026896325,0.132685672017919,268,3.28593901862624,0.0144993397527692
FBgn0053111,FBtr0084530,down - control,1.83836126696751,0.222664194167085,540,8.25620515163754,3.60613316985336e-10
FBgn0039172,FBtr0084564,down - control,0.28410920870592,0.063118131016559,269,4.50122974381773,0.000145648334679671
FBgn0027539,FBtr0331697,down - control,-0.200764979188204,0.053350468224354,269,-3.76313434296265,0.00280336722806251
FBgn0039223,FBtr0339255,down - control,0.235498141953197,0.0510114008536312,269,4.61657860816095,8.79692312190095e-05
FBgn0039321,FBtr0084858,down - control,-0.83490592790784,0.281800029060702,268,-2.96276026191607,0.0386056095775885
FBgn0000064,FBtr0310661,down - control,0.563750227645103,0.079223468584137,540,7.11594982800316,5.94808646781075e-10
FBgn0029155,FBtr0085110,down - control,-0.0947406712095131,0.0260862118994565,268,-3.63182939610665,0.00450759547208046
FBgn0046247,FBtr0085162,down - control,2.11322181662517,0.290793640332212,540,7.26708401948187,4.45816827898682e-10
FBgn0002772,FBtr0085195,down - control,0.499315904577038,0.100822980803806,268,4.95240173020344,1.91171174860338e-05
FBgn0005659,FBtr0339318,down - control,-0.836333171009048,0.148805621941923,269,-5.6203062767041,7.09206388394001e-07
FBgn0039600,FBtr0113299,down - control,-0.663776693485269,0.156433482903464,404,-4.24318810247861,0.000909420781103454
FBgn0014869,FBtr0100483,down - control,-0.326815205389636,0.0584635321564483,404,-5.59006945586318,1.49110041813838e-06
